"filename", "language", "TypeScript", "comment", "blank", "total"
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/interfaces/types.ts", "TypeScript", 99, 9, 25, 133
"Total", "-", 99, 9, 25, 133
